layer,group,within_similarity
0,logic,1.000000095126597
0,causality,1.000000095126597
0,analogy,1.000000095126597
0,definition,1.000000095126597
4,logic,0.9343363431991797
4,causality,0.9561102462103497
4,analogy,0.9961896927721371
4,definition,0.8998551249483936
8,logic,0.8467997358787462
8,causality,0.8842012479029654
8,analogy,0.9819101880740592
8,definition,0.8218582255625847
12,logic,0.8389700880206327
12,causality,0.8316631467632675
12,analogy,0.9779699084317856
12,definition,0.8416952467520368
16,logic,0.7936529415540914
16,causality,0.8126684703231707
16,analogy,0.9759521292721769
16,definition,0.8083418596258812
20,logic,0.8483569949016999
20,causality,0.8838752266550985
20,analogy,0.9803980544696248
20,definition,0.8275000236711173
24,logic,0.8967389092973734
24,causality,0.928013080542701
24,analogy,0.9826019023903482
24,definition,0.8500570651889001
28,logic,0.9364697666294242
28,causality,0.9587446531414802
28,analogy,0.9710505138703277
28,definition,0.8886659695850359
