alpha,prompt_id,original_group,nearest_group,nearest_score,similarity_to_source,similarity_to_target
-2.0,logic_orig_01,logic,logic,0.9268182040837257,0.9268182040837257,0.8108666850055436
-2.0,logic_orig_02,logic,logic,0.908189681807662,0.908189681807662,0.7935253565753774
-2.0,logic_orig_03,logic,logic,0.9034610536286573,0.9034610536286573,0.7777265266894372
-2.0,logic_para_01,logic,logic,0.9056839722171222,0.9056839722171222,0.7737608353364605
-2.0,logic_para_02,logic,logic,0.8767655635230404,0.8767655635230404,0.7356832284788248
-2.0,logic_para_03,logic,logic,0.9227121784148147,0.9227121784148147,0.7943065102585203
-1.0,logic_orig_01,logic,logic,0.9266787323557829,0.9266787323557829,0.8131545958306621
-1.0,logic_orig_02,logic,logic,0.9080468337611176,0.9080468337611176,0.7958528325825168
-1.0,logic_orig_03,logic,logic,0.9034184106439083,0.9034184106439083,0.7801527877681824
-1.0,logic_para_01,logic,logic,0.9056955117136405,0.9056955117136405,0.7762522191893357
-1.0,logic_para_02,logic,logic,0.8768586802320842,0.8768586802320842,0.7379933479521719
-1.0,logic_para_03,logic,logic,0.922687247800424,0.922687247800424,0.7965797474394327
-0.5,logic_orig_01,logic,logic,0.9266009038368406,0.9266009038368406,0.8142919097395708
-0.5,logic_orig_02,logic,logic,0.9079671951687682,0.9079671951687682,0.7970098550889433
-0.5,logic_orig_03,logic,logic,0.9033888519083979,0.9033888519083979,0.7813595036812996
-0.5,logic_para_01,logic,logic,0.9056929137385847,0.9056929137385847,0.7774915595648134
-0.5,logic_para_02,logic,logic,0.8768987171025693,0.8768987171025693,0.7391437652775362
-0.5,logic_para_03,logic,logic,0.9226674860931248,0.9226674860931248,0.7977106887498554
0.0,logic_orig_01,logic,logic,0.9265176766976483,0.9265176766976483,0.8154247650517458
0.0,logic_orig_02,logic,logic,0.9078820765204219,0.9078820765204219,0.7981623680359436
0.0,logic_orig_03,logic,logic,0.9033537942579226,0.9033537942579226,0.7825619071830505
0.0,logic_para_01,logic,logic,0.905684727677752,0.905684727677752,0.7787266271949025
0.0,logic_para_02,logic,logic,0.8769343968070875,0.8769343968070875,0.7402910579389629
0.0,logic_para_03,logic,logic,0.922642853634581,0.922642853634581,0.7988378157053577
0.5,logic_orig_01,logic,logic,0.9264290486508079,0.9264290486508079,0.8165531388416014
0.5,logic_orig_02,logic,logic,0.9077914754268521,0.9077914754268521,0.7993103472846339
0.5,logic_orig_03,logic,logic,0.9033132324961097,0.9033132324961097,0.7837599715356599
0.5,logic_para_01,logic,logic,0.9056709467048055,0.9056709467048055,0.7799573935462017
0.5,logic_para_02,logic,logic,0.8769657124446562,0.8769657124446562,0.7414352037779492
0.5,logic_para_03,logic,logic,0.9226133458439428,0.9226133458439428,0.7999611063768215
1.0,logic_orig_01,logic,logic,0.9263350176898,0.9263350176898,0.8176770084023802
1.0,logic_orig_02,logic,logic,0.9076953897941117,0.9076953897941117,0.8004537689247826
1.0,logic_orig_03,logic,logic,0.9032671617224224,0.9032671617224224,0.7849536702108523
1.0,logic_para_01,logic,logic,0.9056515642960142,0.9056515642960142,0.781183830289163
1.0,logic_para_02,logic,logic,0.876992657300646,0.876992657300646,0.7425761807453805
1.0,logic_para_03,logic,logic,0.9225789583672918,0.9225789583672918,0.8010805389952029
2.0,logic_orig_01,logic,logic,0.926130740406463,0.926130740406463,0.8199111451171421
2.0,logic_orig_02,logic,logic,0.9074867580148289,0.9074867580148289,0.8027268448963039
2.0,logic_orig_03,logic,logic,0.9031584750221389,0.9031584750221389,0.7873278654801603
2.0,logic_para_01,logic,logic,0.9055959705962582,0.9055959705962582,0.7836236026695216
2.0,logic_para_02,logic,logic,0.8770334087468563,0.8770334087468563,0.7448485404277472
2.0,logic_para_03,logic,logic,0.9224955280792461,0.9224955280792461,0.803307743808938
