source_group,target_group,delta_norm,min_beta_target_similarity_exceeds_source,min_beta_target_assignment_rate_ge_0_5,min_beta_target_assignment_rate_eq_1,final_beta,final_target_assignment_rate,final_target_minus_source_similarity,final_relative_perturbation_norm
logic,causality,105.02935898996124,0.5,0.5,0.75,2.0,1.0,0.28585060122663564,1.007108449935913
logic,analogy,92.77485676592072,0.5,0.5,0.75,2.0,1.0,0.2510365892042711,0.8896021842956543
logic,definition,98.7327071726886,0.5,0.5,0.75,2.0,1.0,0.27893504460911,0.9467310309410095
causality,logic,105.02935898996124,0.75,0.75,0.75,2.0,1.0,0.3261323960803684,0.9190225601196289
causality,analogy,118.23126832755301,0.75,0.5,0.75,2.0,1.0,0.3747841373290806,1.0345412492752075
causality,definition,79.10217335748588,0.75,0.5,0.75,2.0,1.0,0.18708860514641723,0.6921558380126953
analogy,logic,92.77485676592072,0.75,0.75,0.75,2.0,1.0,0.27557767148537926,0.8622111678123474
analogy,causality,118.23126832755301,0.5,0.75,0.75,2.0,1.0,0.3586383633824013,1.0987924337387085
analogy,definition,108.50921129120354,0.75,0.75,0.75,2.0,1.0,0.33211334506715107,1.0084397792816162
definition,logic,98.7327071726886,0.75,0.5,0.75,2.0,1.0,0.2997863116895366,0.891890287399292
definition,causality,79.10217335748588,0.5,0.5,0.75,2.0,1.0,0.1738578904331035,0.7145602107048035
definition,analogy,108.50921129120354,0.75,0.5,0.75,2.0,1.0,0.3276493263060124,0.9802051186561584
