source_group,target_group,beta,mean_similarity_to_source,mean_similarity_to_target,target_minus_source_similarity,target_assignment_rate,mean_relative_perturbation_norm,rsm_pearson,rsm_spearman,invariant_violation_score,rsm_frobenius_distance
logic,causality,0.0,0.9071692542659022,0.7856674235183272,-0.12150183074757503,0.0,0.0,1.0,1.0,0.0,0.0
logic,causality,0.25,0.8980774643316272,0.8406207431798274,-0.05745672115179978,0.0,0.12588855624198914,0.9999535237536944,1.0,4.647624630560454e-05,0.006054985187919712
logic,causality,0.5,0.875161354568561,0.8817522274440212,0.006590872875460119,0.6666666666666666,0.25177711248397827,0.9997569377712904,1.0,0.0002430622287096229,0.03134234514169465
logic,causality,0.75,0.8406026259182582,0.9083889309111797,0.06778630499292149,1.0,0.3776656687259674,0.9993351890956087,1.0,0.0006648109043912998,0.09732040070148168
logic,causality,1.0,0.7977169042134705,0.9216859355002094,0.12396903128673886,1.0,0.5035542249679565,0.9986651037002349,1.0,0.0013348962997651315,0.18555711867885202
logic,causality,1.5,0.7006905445460125,0.9180057666801779,0.21731522213416532,1.0,0.7553313374519348,0.9967901580610149,0.9928571428571428,0.003209841938985103,0.38577836395900744
logic,causality,2.0,0.605267721391133,0.8911183226177687,0.28585060122663564,1.0,1.007108449935913,0.9947615236901023,0.9928571428571428,0.0052384763098977105,0.5706509463280925
logic,analogy,0.0,0.9071692542659022,0.8059412338008256,-0.10122802046507662,0.0,0.0,1.0,1.0,0.0,0.0
logic,analogy,0.25,0.8988749895495619,0.8495536017327678,-0.04932138781679407,0.0,0.11120027303695679,0.9999163880442525,1.0,8.36119557474646e-05,0.018952211240841718
logic,analogy,0.5,0.8794562019992176,0.8826583315814657,0.003202129582248081,0.5,0.22240054607391357,0.999611490795253,0.9964285714285712,0.0003885092047469785,0.013304639521716111
logic,analogy,0.75,0.8500128426710122,0.9044438621523524,0.054431019481340215,1.0,0.33360084891319275,0.9990296320754586,1.0,0.0009703679245414154,0.0414256239841678
logic,analogy,1.0,0.8125855318003569,0.9153038402723861,0.10271830847202923,1.0,0.44480109214782715,0.9981696237220178,1.0,0.0018303762779822152,0.1052825706741633
logic,analogy,1.5,0.7237806488058074,0.9101635175438841,0.18638286873807675,1.0,0.6672016978263855,0.9958752201365221,0.9964285714285712,0.004124779863477923,0.2747207240341262
logic,analogy,2.0,0.6309682735144203,0.8820048627186914,0.2510365892042711,1.0,0.8896021842956543,0.9934308872655035,0.9928571428571428,0.006569112734496452,0.4526302547426749
logic,definition,0.0,0.9071692542659022,0.7924825990827778,-0.11468665518312438,0.0,0.0,1.0,1.0,0.0,0.0
logic,definition,0.25,0.8976924973260673,0.8416872814881694,-0.05600521583789786,0.0,0.11834137886762619,0.9999807827073246,1.0,1.9217292675399733e-05,0.022377772940171712
logic,definition,0.5,0.8755227160758553,0.8791402088710812,0.0036174927952259406,0.5,0.23668275773525238,0.9999079652893125,1.0,9.203471068752744e-05,0.01109927082570356
logic,definition,0.75,0.8420000187207336,0.9037023689953266,0.06170235027459303,1.0,0.355024129152298,0.999736236672828,1.0,0.00026376332717203965,0.03818815077733169
logic,definition,1.0,0.799680775786511,0.9158068769495813,0.11612610116307032,1.0,0.47336551547050476,0.9994146801104938,1.0,0.000585319889506164,0.10987000973841758
logic,definition,1.5,0.7009591373933421,0.9099473003122256,0.20898816291888345,1.0,0.710048258304596,0.9982646638735736,0.9964285714285712,0.0017353361264264011,0.29479213206252736
logic,definition,2.0,0.6005106728054214,0.8794457174145314,0.27893504460911,1.0,0.9467310309410095,0.9966747865870104,0.9928571428571428,0.003325213412989636,0.48270518653106687
causality,logic,0.0,0.9151241891530968,0.7921688785934847,-0.12295531055961206,0.0,0.0,0.9999999999999999,1.0,1.1102230246251565e-16,0.0
causality,logic,0.25,0.9013396391311926,0.8341484872495598,-0.06719115188163283,0.0,0.11487782001495361,0.9993297086852696,1.0,0.0006702913147303979,0.08938910418442697
causality,logic,0.5,0.8745288917292275,0.8679736984141183,-0.006555193315109231,0.3333333333333333,0.22975564002990723,0.9971356179991973,0.9964285714285712,0.0028643820008027454,0.15642442538334514
causality,logic,0.75,0.8336279047522774,0.8904803335571887,0.05685242880491126,1.0,0.34463346004486084,0.9934874397349687,0.9857142857142854,0.006512560265031331,0.1909588339809573
causality,logic,1.0,0.7793067508060766,0.8995810341433496,0.12027428333727297,1.0,0.45951128005981445,0.9890303010472982,0.982142857142857,0.010969698952701834,0.1871868375485804
causality,logic,1.5,0.6417229629835924,0.8778696775107971,0.2361467145272047,1.0,0.6892669200897217,0.9818422889347668,0.9785714285714284,0.01815771106523323,0.07749866154832309
