source_group,target_group,beta,target_assignment_rate,target_minus_source_similarity,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm
logic,causality,0.0,0.0,-0.12150183074757503,0.0,1.0,0.0
logic,causality,0.25,0.0,-0.05745672115179978,4.647624630560454e-05,0.9999535237536944,0.12588855624198914
logic,causality,0.5,0.6666666666666666,0.006590872875460119,0.0002430622287096229,0.9997569377712904,0.25177711248397827
logic,causality,0.75,1.0,0.06778630499292149,0.0006648109043912998,0.9993351890956087,0.3776656687259674
logic,causality,1.0,1.0,0.12396903128673886,0.0013348962997651315,0.9986651037002349,0.5035542249679565
logic,causality,1.5,1.0,0.21731522213416532,0.003209841938985103,0.9967901580610149,0.7553313374519348
logic,causality,2.0,1.0,0.28585060122663564,0.0052384763098977105,0.9947615236901023,1.007108449935913
logic,analogy,0.0,0.0,-0.10122802046507662,0.0,1.0,0.0
logic,analogy,0.25,0.0,-0.04932138781679407,8.36119557474646e-05,0.9999163880442525,0.11120027303695679
logic,analogy,0.5,0.5,0.003202129582248081,0.0003885092047469785,0.999611490795253,0.22240054607391357
logic,analogy,0.75,1.0,0.054431019481340215,0.0009703679245414154,0.9990296320754586,0.33360084891319275
logic,analogy,1.0,1.0,0.10271830847202923,0.0018303762779822152,0.9981696237220178,0.44480109214782715
logic,analogy,1.5,1.0,0.18638286873807675,0.004124779863477923,0.9958752201365221,0.6672016978263855
logic,analogy,2.0,1.0,0.2510365892042711,0.006569112734496452,0.9934308872655035,0.8896021842956543
logic,definition,0.0,0.0,-0.11468665518312438,0.0,1.0,0.0
logic,definition,0.25,0.0,-0.05600521583789786,1.9217292675399733e-05,0.9999807827073246,0.11834137886762619
logic,definition,0.5,0.5,0.0036174927952259406,9.203471068752744e-05,0.9999079652893125,0.23668275773525238
logic,definition,0.75,1.0,0.06170235027459303,0.00026376332717203965,0.999736236672828,0.355024129152298
logic,definition,1.0,1.0,0.11612610116307032,0.000585319889506164,0.9994146801104938,0.47336551547050476
logic,definition,1.5,1.0,0.20898816291888345,0.0017353361264264011,0.9982646638735736,0.710048258304596
logic,definition,2.0,1.0,0.27893504460911,0.003325213412989636,0.9966747865870104,0.9467310309410095
causality,logic,0.0,0.0,-0.12295531055961206,1.1102230246251565e-16,0.9999999999999999,0.0
causality,logic,0.25,0.0,-0.06719115188163283,0.0006702913147303979,0.9993297086852696,0.11487782001495361
causality,logic,0.5,0.3333333333333333,-0.006555193315109231,0.0028643820008027454,0.9971356179991973,0.22975564002990723
causality,logic,0.75,1.0,0.05685242880491126,0.006512560265031331,0.9934874397349687,0.34463346004486084
