source_group,target_group,beta,target_assignment_rate,target_minus_source_similarity,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm,success_minus_violation,success_minus_perturbation,balanced_validity_score,validity_score_lambda_0,validity_score_lambda_1,validity_score_lambda_5,validity_score_lambda_10,validity_score_lambda_20,validity_score_lambda_50,validity_score_lambda_100
logic,causality,0.0,0.0,-0.12150183074757503,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logic,causality,0.25,0.0,-0.05745672115179978,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-4.647624630560454e-05,-0.12588855624198914,-0.012635331870504519,0.0,-4.647624630560454e-05,-0.0002323812315280227,-0.0004647624630560454,-0.0009295249261120908,-0.002323812315280227,-0.004647624630560454
logic,causality,0.5,0.6666666666666666,0.006590872875460119,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.666423604437957,0.41488955418268836,0.6412458931895592,0.6666666666666666,0.666423604437957,0.6654513555231185,0.6642360443795704,0.6618054220924742,0.6545135552311855,0.6423604437957043
logic,causality,0.75,1.0,0.06778630499292149,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9993351890956087,0.6223343312740326,0.961568622223012,1.0,0.9993351890956087,0.9966759454780435,0.993351890956087,0.986703781912174,0.966759454780435,0.93351890956087
logic,causality,1.0,1.0,0.12396903128673886,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9986651037002349,0.49644577503204346,0.9483096812034392,1.0,0.9986651037002349,0.9933255185011743,0.9866510370023487,0.9733020740046974,0.9332551850117434,0.8665103700234869
logic,causality,1.5,1.0,0.21731522213416532,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.9967901580610149,0.24466866254806519,0.9212570243158213,1.0,0.9967901580610149,0.9839507903050745,0.967901580610149,0.9358031612202979,0.8395079030507449,0.6790158061014897
logic,causality,2.0,1.0,0.28585060122663564,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.9947615236901023,-0.007108449935913086,0.894050678696511,1.0,0.9947615236901023,0.9738076184505114,0.9476152369010229,0.8952304738020458,0.7380761845051145,0.47615236901022895
logic,analogy,0.0,0.0,-0.10122802046507662,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logic,analogy,0.25,0.0,-0.04932138781679407,8.36119557474646e-05,0.9999163880442525,0.11120027303695679,-8.36119557474646e-05,-0.11120027303695679,-0.011203639259443144,0.0,-8.36119557474646e-05,-0.00041805977873732303,-0.0008361195574746461,-0.0016722391149492921,-0.00418059778737323,-0.00836119557474646
logic,analogy,0.5,0.5,0.003202129582248081,0.0003885092047469785,0.999611490795253,0.22240054607391357,0.499611490795253,0.2775994539260864,0.47737143618786165,0.5,0.499611490795253,0.4980574539762651,0.4961149079525302,0.49222981590506043,0.4805745397626511,0.46114907952530215
logic,analogy,0.75,1.0,0.054431019481340215,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.9990296320754586,0.6663991510868073,0.9656695471841393,1.0,0.9990296320754586,0.9951481603772929,0.9902963207545858,0.9805926415091717,0.9514816037729292,0.9029632075458585
logic,analogy,1.0,1.0,0.10271830847202923,0.0018303762779822152,0.9981696237220178,0.44480109214782715,0.9981696237220178,0.5551989078521729,0.953689514507235,1.0,0.9981696237220178,0.9908481186100889,0.9816962372201778,0.9633924744403557,0.9084811861008892,0.8169623722017785
logic,analogy,1.5,1.0,0.18638286873807675,0.004124779863477923,0.9958752201365221,0.6672016978263855,0.9958752201365221,0.3327983021736145,0.9291550503538836,1.0,0.9958752201365221,0.9793761006826104,0.9587522013652208,0.9175044027304415,0.7937610068261038,0.5875220136522077
logic,analogy,2.0,1.0,0.2510365892042711,0.006569112734496452,0.9934308872655035,0.8896021842956543,0.9934308872655035,0.1103978157043457,0.9044706688359381,1.0,0.9934308872655035,0.9671544363275177,0.9343088726550355,0.868617745310071,0.6715443632751774,0.34308872655035483
logic,definition,0.0,0.0,-0.11468665518312438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logic,definition,0.25,0.0,-0.05600521583789786,1.9217292675399733e-05,0.9999807827073246,0.11834137886762619,-1.9217292675399733e-05,-0.11834137886762619,-0.01185335517943802,0.0,-1.9217292675399733e-05,-9.608646337699867e-05,-0.00019217292675399733,-0.00038434585350799466,-0.0009608646337699867,-0.0019217292675399733
logic,definition,0.5,0.5,0.0036174927952259406,9.203471068752744e-05,0.9999079652893125,0.23668275773525238,0.4999079652893125,0.2633172422647476,0.4762396895157872,0.5,0.4999079652893125,0.49953982644656236,0.4990796528931247,0.49815930578624945,0.49539826446562363,0.49079652893124726
logic,definition,0.75,1.0,0.06170235027459303,0.00026376332717203965,0.999736236672828,0.355024129152298,0.999736236672828,0.644975870847702,0.9642338237575981,1.0,0.999736236672828,0.9986811833641398,0.9973623667282796,0.9947247334565592,0.986811833641398,0.973623667282796
logic,definition,1.0,1.0,0.11612610116307032,0.000585319889506164,0.9994146801104938,0.47336551547050476,0.9994146801104938,0.5266344845294952,0.9520781285634433,1.0,0.9994146801104938,0.9970734005524692,0.9941468011049384,0.9882936022098767,0.9707340055246918,0.9414680110493836
logic,definition,1.5,1.0,0.20898816291888345,0.0017353361264264011,0.9982646638735736,0.710048258304596,0.9982646638735736,0.28995174169540405,0.927259838043114,1.0,0.9982646638735736,0.991323319367868,0.982646638735736,0.965293277471472,0.9132331936786799,0.8264663873573599
