lambda,gamma,mean_selected_beta,mean_assignment_rate,mean_ivs,mean_rsm_pearson,mean_relative_perturbation,mean_delta_ivs_vs_baseline,mean_delta_perturbation_vs_baseline,mean_delta_assignment_vs_baseline,num_pairs_assignment_1,num_pairs_assignment_ge_0_5
1.0,0.0,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
1.0,0.05,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
1.0,0.1,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
1.0,0.2,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
5.0,0.0,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
5.0,0.05,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
5.0,0.1,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
5.0,0.2,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
10.0,0.0,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
10.0,0.05,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
10.0,0.1,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
10.0,0.2,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
20.0,0.0,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
20.0,0.05,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
20.0,0.1,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
20.0,0.2,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
50.0,0.0,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
50.0,0.05,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
50.0,0.1,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
50.0,0.2,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
100.0,0.0,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
100.0,0.05,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
100.0,0.1,0.75,1.0,0.0028496942764711375,0.9971503057235288,0.34516438841819763,0.0,0.0,0.0,12,12
100.0,0.2,0.7291666666666666,0.9722222222222222,0.0025848510486535434,0.9974151489513464,0.3349539153277874,-0.00026484322781759423,-0.010210473090410233,-0.02777777777777778,11,12
