source_group,target_group,lambda,gamma,selected_beta,selected_assignment_rate,selected_ivs,selected_rsm_pearson,selected_relative_perturbation,baseline_frontier_beta,baseline_assignment_rate,baseline_ivs,baseline_rsm_pearson,baseline_relative_perturbation,delta_ivs_vs_baseline,delta_perturbation_vs_baseline,delta_assignment_vs_baseline
logic,causality,1.0,0.0,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,1.0,0.05,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,1.0,0.1,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,1.0,0.2,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,5.0,0.0,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,5.0,0.05,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,5.0,0.1,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,5.0,0.2,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,10.0,0.0,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,10.0,0.05,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,10.0,0.1,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,10.0,0.2,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,20.0,0.0,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,20.0,0.05,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,20.0,0.1,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,20.0,0.2,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,50.0,0.0,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,50.0,0.05,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,50.0,0.1,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,50.0,0.2,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,100.0,0.0,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,100.0,0.05,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,100.0,0.1,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,causality,100.0,0.2,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.75,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.0,0.0,0.0
logic,analogy,1.0,0.0,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,1.0,0.05,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,1.0,0.1,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,1.0,0.2,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,5.0,0.0,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,5.0,0.05,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,5.0,0.1,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,5.0,0.2,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,10.0,0.0,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
