source_group,target_group,beta,lambda,gamma,target_assignment_rate,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm,constraint_score
logic,causality,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,1.0,0.0,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-4.647624630560454e-05
logic,causality,0.5,1.0,0.0,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.666423604437957
logic,causality,0.75,1.0,0.0,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9993351890956087
logic,causality,1.0,1.0,0.0,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9986651037002349
logic,causality,1.5,1.0,0.0,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.9967901580610149
logic,causality,2.0,1.0,0.0,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.9947615236901023
logic,causality,0.0,1.0,0.05,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,1.0,0.05,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.006340904058405062
logic,causality,0.5,1.0,0.05,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6538347488137581
logic,causality,0.75,1.0,0.05,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9804519056593103
logic,causality,1.0,1.0,0.05,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.973487392451837
logic,causality,1.5,1.0,0.05,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.9590235911884182
logic,causality,2.0,1.0,0.05,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.9444061011933066
logic,causality,0.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,1.0,0.1,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.012635331870504519
logic,causality,0.5,1.0,0.1,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6412458931895592
logic,causality,0.75,1.0,0.1,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.961568622223012
logic,causality,1.0,1.0,0.1,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9483096812034392
logic,causality,1.5,1.0,0.1,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.9212570243158213
logic,causality,2.0,1.0,0.1,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.894050678696511
logic,causality,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,1.0,0.2,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.025224187494703433
logic,causality,0.5,1.0,0.2,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6160681819411613
logic,causality,0.75,1.0,0.2,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9238020553504152
logic,causality,1.0,1.0,0.2,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.8979542587066436
logic,causality,1.5,1.0,0.2,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.8457238905706279
logic,causality,2.0,1.0,0.2,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.7933398337029196
logic,causality,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,5.0,0.0,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.0002323812315280227
logic,causality,0.5,5.0,0.0,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6654513555231185
logic,causality,0.75,5.0,0.0,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9966759454780435
logic,causality,1.0,5.0,0.0,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9933255185011743
logic,causality,1.5,5.0,0.0,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.9839507903050745
logic,causality,2.0,5.0,0.0,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.9738076184505114
logic,causality,0.0,5.0,0.05,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,5.0,0.05,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.00652680904362748
logic,causality,0.5,5.0,0.05,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6528624998989196
logic,causality,0.75,5.0,0.05,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9777926620417451
logic,causality,1.0,5.0,0.05,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9681478072527765
logic,causality,1.5,5.0,0.05,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.9461842234324778
logic,causality,2.0,5.0,0.05,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.9234521959537157
logic,causality,0.0,5.0,0.1,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,5.0,0.1,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.012821236855726937
logic,causality,0.5,5.0,0.1,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6402736442747207
logic,causality,0.75,5.0,0.1,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9589093786054468
logic,causality,1.0,5.0,0.1,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9429700960043786
logic,causality,1.5,5.0,0.1,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.9084176565598809
logic,causality,2.0,5.0,0.1,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.8730967734569202
logic,causality,0.0,5.0,0.2,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,5.0,0.2,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.02541009247992585
logic,causality,0.5,5.0,0.2,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6150959330263228
logic,causality,0.75,5.0,0.2,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.92114281173285
logic,causality,1.0,5.0,0.2,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.8926146735075831
logic,causality,1.5,5.0,0.2,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.8328845228146875
logic,causality,2.0,5.0,0.2,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.7723859284633288
logic,causality,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,10.0,0.0,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.0004647624630560454
logic,causality,0.5,10.0,0.0,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6642360443795704
logic,causality,0.75,10.0,0.0,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.993351890956087
logic,causality,1.0,10.0,0.0,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9866510370023487
logic,causality,1.5,10.0,0.0,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.967901580610149
logic,causality,2.0,10.0,0.0,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.9476152369010229
logic,causality,0.0,10.0,0.05,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,10.0,0.05,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.0067591902751555025
logic,causality,0.5,10.0,0.05,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6516471887553715
logic,causality,0.75,10.0,0.05,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9744686075197886
logic,causality,1.0,10.0,0.05,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9614733257539508
logic,causality,1.5,10.0,0.05,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.9301350137375523
logic,causality,2.0,10.0,0.05,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.8972598144042272
logic,causality,0.0,10.0,0.1,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,10.0,0.1,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.01305361808725496
logic,causality,0.5,10.0,0.1,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6390583331311726
logic,causality,0.75,10.0,0.1,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9555853240834903
logic,causality,1.0,10.0,0.1,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.936295614505553
logic,causality,1.5,10.0,0.1,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.8923684468649555
