layer,normalized_depth,group,within_similarity
0,0.0,logic,0.6594277475678567
0,0.0,causality,0.6594277475678567
0,0.0,analogy,0.6972691269322565
0,0.0,definition,0.6972691269322565
4,0.15384615384615385,logic,0.978664283059635
4,0.15384615384615385,causality,0.9835427732993676
4,0.15384615384615385,analogy,0.9787951230548195
4,0.15384615384615385,definition,0.9833077439140666
8,0.3076923076923077,logic,0.9923904211569655
8,0.3076923076923077,causality,0.995350052467954
8,0.3076923076923077,analogy,0.9905990070879749
8,0.3076923076923077,definition,0.9947282737135777
12,0.46153846153846156,logic,0.995399001541456
12,0.46153846153846156,causality,0.9965661770297661
12,0.46153846153846156,analogy,0.9942592755103309
12,0.46153846153846156,definition,0.9956703662034317
16,0.6153846153846154,logic,0.9832626415551575
16,0.6153846153846154,causality,0.9777817815867499
16,0.6153846153846154,analogy,0.9817829752957687
16,0.6153846153846154,definition,0.9766154240391173
20,0.7692307692307693,logic,0.9744201853121476
20,0.7692307692307693,causality,0.9662871462872163
20,0.7692307692307693,analogy,0.9709198237901931
20,0.7692307692307693,definition,0.9581344314238276
23,0.8846153846153846,logic,0.9736748885105327
23,0.8846153846153846,causality,0.9635970761659257
23,0.8846153846153846,analogy,0.9718002959755191
23,0.8846153846153846,definition,0.9569368317681644
26,1.0,logic,0.7091331188969485
26,1.0,causality,0.6678100506222788
26,1.0,analogy,0.6697973208783121
26,1.0,definition,0.5926917985058068
