source_group,target_group,beta,rsm_pearson,invariant_violation_score,rsm_frobenius_distance
logic,causality,-1.0,0.9893155241951077,0.01068447580489229,0.708448553891691
logic,causality,-0.5,0.9948806341719653,0.005119365828034739,0.35364396084640815
logic,causality,0.0,0.9999999999999998,2.220446049250313e-16,0.0
logic,causality,0.25,0.9971966717495993,0.0028033282504007495,0.10553929610377365
logic,causality,0.5,0.987819277862174,0.01218072213782595,0.13011078357501854
logic,causality,0.75,0.9734285377958632,0.026571462204136753,0.099886589607775
logic,causality,1.0,0.958328385238605,0.041671614761395026,0.1628368315488352
logic,causality,1.5,0.9381944120592517,0.06180558794074831,0.5029326210467584
logic,causality,2.0,0.9325596960999006,0.06744030390009936,0.8189246303466553
logic,analogy,-1.0,0.9927792725003554,0.007220727499644641,0.5342145963963025
logic,analogy,-0.5,0.9979304329332176,0.0020695670667824073,0.26120332074442565
logic,analogy,0.0,0.9999999999999998,2.220446049250313e-16,0.0
logic,analogy,0.25,0.9995486409628275,0.00045135903717252734,0.09628071719988718
logic,analogy,0.5,0.9985021272778047,0.0014978727221952592,0.1515852404940572
logic,analogy,0.75,0.9974237100796917,0.002576289920308339,0.15722526592902875
logic,analogy,1.0,0.9967518216525756,0.003248178347424413,0.11322802037178574
logic,analogy,1.5,0.9967012729103053,0.0032987270896946974,0.10876174690815275
logic,analogy,2.0,0.9966143696218052,0.003385630378194837,0.38094043085415785
logic,definition,-1.0,0.9977992052145913,0.0022007947854086884,0.5353530914813782
logic,definition,-0.5,0.9993925457522228,0.0006074542477771949,0.24909506751707938
logic,definition,0.0,0.9999999999999998,2.220446049250313e-16,0.0
logic,definition,0.25,0.9997775507210758,0.0002224492789242305,0.0721216077026587
logic,definition,0.5,0.9989404718500658,0.0010595281499341525,0.09180530218684395
logic,definition,0.75,0.9972348140048088,0.002765185995191155,0.05929002138966136
logic,definition,1.0,0.9945681863323466,0.00543181366765344,0.05352869506041484
logic,definition,1.5,0.9872723732661675,0.012727626733832542,0.3035386894403391
logic,definition,2.0,0.9798628092352846,0.02013719076471543,0.5834755565977975
causality,logic,-1.0,0.9902293837412245,0.00977061625877551,0.8192897269089506
causality,logic,-0.5,0.996231231939986,0.003768768060014027,0.4347761177271933
causality,logic,0.0,1.0,0.0,0.0
causality,logic,0.25,0.9984494902792195,0.001550509720780524,0.17621419735785598
causality,logic,0.5,0.9934158291605937,0.0065841708394063225,0.27659614585909764
causality,logic,0.75,0.985349719159911,0.014650280840089014,0.27682168652519706
causality,logic,1.0,0.9759229116771413,0.02407708832285871,0.18516547758175025
causality,logic,1.5,0.9602201563914624,0.03977984360853759,0.2604597134084546
causality,logic,2.0,0.9529782697883653,0.047021730211634694,0.6660340148691204
causality,analogy,-1.0,0.9889161773574471,0.01108382264255292,0.9131305734615763
causality,analogy,-0.5,0.9954917896871222,0.004508210312877847,0.5100986282022452
causality,analogy,0.0,1.0,0.0,0.0
causality,analogy,0.25,0.997956357099709,0.0020436429002910206,0.23279908539142194
causality,analogy,0.5,0.9911796877848119,0.008820312215188086,0.3837563685755871
causality,analogy,0.75,0.9804360334954842,0.01956396650451575,0.4082633835907823
causality,analogy,1.0,0.9686046083289541,0.03139539167104588,0.30350631906303693
causality,analogy,1.5,0.9525906976447518,0.047409302355248206,0.22668193734913797
causality,analogy,2.0,0.9492402707379561,0.05075972926204386,0.682088721032292
causality,definition,-1.0,0.9964983188754559,0.003501681124544076,0.646826287245233
causality,definition,-0.5,0.9987629271953219,0.0012370728046781077,0.319682100427091
causality,definition,0.0,1.0,0.0,0.0
causality,definition,0.25,0.9994531913069908,0.0005468086930091598,0.11828130912011632
causality,definition,0.5,0.9974483041856975,0.0025516958143024793,0.18536456387485162
causality,definition,0.75,0.9935884342691185,0.00641156573088153,0.19120537749445876
causality,definition,1.0,0.9879212907996774,0.012078709200322613,0.1402677780176943
causality,definition,1.5,0.9738134283793888,0.02618657162061122,0.16790343060703647
causality,definition,2.0,0.9613066054156257,0.03869339458437426,0.48404472062981635
analogy,logic,-1.0,0.9766630889741701,0.02333691102582991,0.5391278876320019
analogy,logic,-0.5,0.9923416486906903,0.007658351309309697,0.23441041366853166
analogy,logic,0.0,1.0,0.0,0.0
analogy,logic,0.25,0.997736819196277,0.0022631808037230083,0.059871116478450906
analogy,logic,0.5,0.9911911793146657,0.008808820685334284,0.08182501058195042
analogy,logic,0.75,0.9814948807657803,0.018505119234219713,0.10482592397813509
analogy,logic,1.0,0.9704012040835643,0.02959879591643566,0.1809920766752078
analogy,logic,1.5,0.95056800857971,0.04943199142028998,0.4458979643898711
analogy,logic,2.0,0.939311655448777,0.06068834455122296,0.7374822043156147
analogy,causality,-1.0,0.9630275763963932,0.03697242360360675,0.8936540795221265
analogy,causality,-0.5,0.9837284255478389,0.016271574452161097,0.45104488918383295
analogy,causality,0.0,1.0,0.0,0.0
analogy,causality,0.25,0.993652912862869,0.006347087137130947,0.1241656564778853
analogy,causality,0.5,0.975772504757532,0.024227495242468033,0.1463291055580826
analogy,causality,0.75,0.9528754926844291,0.04712450731557094,0.17294753915061578
analogy,causality,1.0,0.9329573253493683,0.06704267465063174,0.34013765011242714
analogy,causality,1.5,0.9150816555706117,0.08491834442938828,0.7846133394674762
analogy,causality,2.0,0.9186907979789186,0.08130920202108138,1.1321382956823607
analogy,definition,-1.0,0.9730842567513037,0.026915743248696278,0.7117599696970228
analogy,definition,-0.5,0.9896994897184747,0.010300510281525344,0.3334959558014346
analogy,definition,0.0,1.0,0.0,0.0
analogy,definition,0.25,0.9964886658198059,0.0035113341801941145,0.08924663107626614
analogy,definition,0.5,0.9862932248037586,0.013706775196241416,0.11292534853248562
analogy,definition,0.75,0.9717470887591417,0.02825291124085827,0.1281662147167711
