source_group,target_group,delta_norm,first_beta_target_gt_source,first_beta_assignment_ge_0_5,first_beta_assignment_eq_1,final_target_minus_source_similarity,final_relative_perturbation_norm,final_ivs,final_rsm_pearson
logic,causality,64.24250338031695,0.5,0.5,1.0,0.4954677669114073,1.2996975183486938,0.06744030390009936,0.9325596960999006
logic,analogy,45.95569827196907,0.75,0.5,0.75,0.32623607952551065,0.9297351837158203,0.003385630378194837,0.9966143696218052
logic,definition,50.34522395349936,0.5,0.5,0.75,0.3531858372956731,1.0185400247573853,0.02013719076471543,0.9798628092352846
causality,logic,64.24250338031695,0.75,0.5,0.75,0.5115095185232508,1.1987406015396118,0.047021730211634694,0.9529782697883653
causality,analogy,69.6762003843974,0.75,0.5,0.75,0.6001265900624576,1.3001313209533691,0.05075972926204386,0.9492402707379561
causality,definition,52.302126872288426,0.75,0.5,0.75,0.3613074301113696,0.9759378433227539,0.03869339458437426,0.9613066054156257
analogy,logic,45.95569827196907,0.5,0.25,1.0,0.30576843459350833,0.9499850869178772,0.06068834455122296,0.939311655448777
analogy,causality,69.6762003843974,0.5,0.5,1.0,0.563577179519128,1.4403295516967773,0.08130920202108138,0.9186907979789186
analogy,definition,56.62173336114752,0.5,0.5,1.0,0.42620584766892583,1.1704707145690918,0.07352199710397644,0.9264780028960236
definition,logic,50.34522395349936,0.5,0.5,1.5,0.33883267323706123,0.9461299777030945,0.10341192672625688,0.8965880732737431
definition,causality,52.302126872288426,0.5,0.5,0.75,0.33905458442192643,0.9829058647155762,0.04462344471037094,0.9553765552896291
definition,analogy,56.62173336114752,0.5,0.5,1.5,0.4286811803180998,1.0640835762023926,0.11306173753075643,0.8869382624692436
