source_group,target_group,beta,delta_norm,mean_source_similarity,mean_target_similarity,mean_target_minus_source_similarity,target_assignment_rate,relative_perturbation_norm
logic,causality,-1.0,64.24250338031695,0.802246679373997,0.27890554852070143,-0.5233411308532956,0.0,0.6498487591743469
logic,causality,-0.5,64.24250338031695,0.8574069491800865,0.45086603506828543,-0.4065409141118011,0.0,0.32492437958717346
logic,causality,0.0,64.24250338031695,0.8702400146900903,0.6459916345998216,-0.2242483800902687,0.0,0.0
logic,causality,0.25,64.24250338031695,0.8462847483751653,0.7352498560430542,-0.11103489233211117,0.0,0.16246218979358673
logic,causality,0.5,64.24250338031695,0.7987042880616775,0.8069644951475355,0.008260207085858062,0.8333333333333334,0.32492437958717346
logic,causality,0.75,64.24250338031695,0.7312694819531654,0.8555419108420795,0.1242724288889141,0.8333333333333334,0.487386554479599
logic,causality,1.0,64.24250338031695,0.6516850467972158,0.8807514581540379,0.22906641135682204,1.0,0.6498487591743469
logic,causality,1.5,64.24250338031695,0.48765766309975045,0.878939302505743,0.3912816394059926,1.0,0.974773108959198
logic,causality,2.0,64.24250338031695,0.3472457033089837,0.842713470220391,0.4954677669114073,1.0,1.2996975183486938
logic,analogy,-1.0,45.95569827196907,0.8417192648253197,0.5314159997596203,-0.3103032650656994,0.0,0.46486759185791016
logic,analogy,-0.5,45.95569827196907,0.8692919774280304,0.6368403829846337,-0.2324515944433967,0.0,0.23243379592895508
logic,analogy,0.0,45.95569827196907,0.8702400146900903,0.7416754460074412,-0.1285645686826491,0.0,0.0
logic,analogy,0.25,45.95569827196907,0.8549255833282122,0.7871185762467032,-0.067807007081509,0.0,0.11621689796447754
logic,analogy,0.5,45.95569827196907,0.8269601185909385,0.8236484739438318,-0.0033116446471067595,0.5,0.23243379592895508
logic,analogy,0.75,45.95569827196907,0.7863846291152425,0.8487307402381633,0.062346111122920767,1.0,0.3486506938934326
logic,analogy,1.0,45.95569827196907,0.7348887013727081,0.8611887598661497,0.1263000584934416,1.0,0.46486759185791016
logic,analogy,1.5,45.95569827196907,0.6117360030152926,0.8513753362242408,0.23963933320894815,1.0,0.6973013877868652
logic,analogy,2.0,45.95569827196907,0.48397098094575514,0.8102070604712658,0.32623607952551065,1.0,0.9297351837158203
logic,definition,-1.0,50.34522395349936,0.8221732127173581,0.4623384480960997,-0.3598347646212584,0.0,0.5092700123786926
logic,definition,-0.5,50.34522395349936,0.8623183379550068,0.5931595382122338,-0.269158799742773,0.0,0.2546350061893463
logic,definition,0.0,50.34522395349936,0.8702400146900903,0.7247698588944053,-0.145470155795685,0.0,0.0
logic,definition,0.25,50.34522395349936,0.8548960990657394,0.7814234295553385,-0.07347266951040088,0.0,0.12731750309467316
