model,layer,normalized_depth,beta,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,pairs_assignment_ge_0_5,pairs_assignment_eq_1,mean_ivs,mean_rsm_pearson,transition_efficiency,validity_score
Qwen/Qwen3-1.7B,8,0.2857142857142857,0.5,0.47222222222222227,0.00022526887406284132,0.20565854261318842,8,0,0.0008382360266858957,0.999161763973314,2.2961467744567785,0.4508181319342175
Qwen/Qwen3-1.7B,8,0.2857142857142857,0.75,0.9861111111111112,0.046022893789201554,0.30848781143625575,12,11,0.0018809969720541924,0.9981190030279458,3.1965965674754386,0.9533813329954314
Qwen/Qwen3-1.7B,8,0.2857142857142857,1.0,1.0,0.09038486600853352,0.41131708522637683,12,12,0.0032599738722976037,0.9967400261277025,2.431214290885793,0.9556083176050647
Qwen/Qwen3-1.7B,16,0.5714285714285714,0.5,0.4861111111111111,-1.6061572036772203e-05,0.23010958979527155,8,0,0.0012264508548401516,0.9987735491451599,2.112519910267125,0.4618737012767438
Qwen/Qwen3-1.7B,16,0.5714285714285714,0.75,1.0,0.058973165645985044,0.34516438841819763,12,12,0.0028496942764711375,0.9971503057235288,2.897170173351454,0.9626338668817092
Qwen/Qwen3-1.7B,16,0.5714285714285714,1.0,1.0,0.11552450704421617,0.4602191795905431,12,12,0.004984947254362955,0.9950150527456371,2.1728776692030154,0.9489931347865828
Qwen/Qwen3-1.7B,28,1.0,0.5,0.4305555555555556,-0.00042363098592288856,0.1321457208444675,7,0,0.0004089169150527187,0.9995910830849475,3.2581874026812843,0.4169320665560561
Qwen/Qwen3-1.7B,28,1.0,0.75,0.8750000000000001,0.018273346406932355,0.19821858406066895,12,7,0.0009076374836303932,0.9990923625163696,4.414318465664165,0.8542705041103028
Qwen/Qwen3-1.7B,28,1.0,1.0,1.0,0.03671186473705009,0.264291441688935,12,12,0.0015703262582938877,0.9984296737417061,3.7837016430519186,0.9720005295728126
google/gemma-3-1b-it,8,0.3076923076923077,0.5,0.44444444444444436,0.00021261890532986438,0.047268238539497055,7,0,0.001153620972359289,0.9988463790276407,9.40260022693816,0.4385639996181354
google/gemma-3-1b-it,8,0.3076923076923077,0.75,0.8055555555555555,0.0019478335291764997,0.07090235656748216,12,5,0.0026666541215314607,0.9973333458784684,11.361476274404163,0.7957986657772758
google/gemma-3-1b-it,8,0.3076923076923077,1.0,0.9722222222222222,0.0036812909656162387,0.09453647707899411,12,11,0.0048606517801936255,0.9951393482198064,10.284095086057507,0.9579079227341293
google/gemma-3-1b-it,16,0.6153846153846154,0.5,0.5,-2.2323997823916104e-05,0.06942371185868979,10,0,9.508307829571756e-05,0.9999049169217042,7.202149159011343,0.4929625457358353
google/gemma-3-1b-it,16,0.6153846153846154,0.75,1.0,0.0047068429131328455,0.10413556918501854,12,12,0.00020178971579528268,0.9997982102842048,9.602865877600697,0.9893846533657028
google/gemma-3-1b-it,16,0.6153846153846154,1.0,1.0,0.009419927273990566,0.13884742371737957,12,12,0.0003372769089768172,0.999662723091023,7.2021496777209055,0.9857779807192852
google/gemma-3-1b-it,26,1.0,0.5,0.5555555555555557,0.0017859831040407208,0.27659765134255093,12,0,0.008296093093592952,0.9917039069064071,2.008533090478776,0.5195996973277077
google/gemma-3-1b-it,26,1.0,0.75,0.875,0.09413013588212772,0.41489648322264355,12,6,0.017970202555123105,0.9820297974448767,2.108959738858178,0.8155401491226125
google/gemma-3-1b-it,26,1.0,1.0,0.9722222222222223,0.18059189963888098,0.5531953026851019,12,10,0.028976570740200307,0.9710234292597996,1.757466485938295,0.8879261212135118
