model,layer,normalized_depth,source_group,target_group,beta,delta_norm,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,ivs,rsm_pearson
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,causality,0.25,8.451043199137754,0.0,-0.022071908293016085,0.07614067196846008,4.098062908242106e-06,0.9999959019370918
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,causality,0.5,8.451043199137754,0.6666666666666666,0.0012166775018348508,0.15228134393692017,1.5589862377818342e-05,0.9999844101376222
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,causality,0.75,8.451043199137754,0.8333333333333334,0.023918404841410834,0.22842203080654144,3.3806237580646936e-05,0.9999661937624194
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,causality,1.0,8.451043199137754,0.8333333333333334,0.04571076735223256,0.30456268787384033,5.867858037655882e-05,0.9999413214196234
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,causality,1.25,8.451043199137754,1.0,0.06634393802061522,0.380703330039978,9.045514387706621e-05,0.9999095448561229
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,causality,1.5,8.451043199137754,1.0,0.08564725893811387,0.4568440616130829,0.00012937171088378552,0.9998706282891162
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,analogy,0.25,8.204880883736715,0.0,-0.02193411922614119,0.07392283529043198,1.806266357662345e-05,0.9999819373364234
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,analogy,0.5,8.204880883736715,0.5,0.000910702323673851,0.14784567058086395,7.747817202818919e-05,0.9999225218279718
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,analogy,0.75,8.204880883736715,1.0,0.023432002933094997,0.22176851332187653,0.0001829298814632896,0.9998170701185367
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,analogy,1.0,8.204880883736715,1.0,0.045295232148741205,0.2956913411617279,0.00033425117153851325,0.9996657488284615
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,analogy,1.25,8.204880883736715,1.0,0.06621826880102544,0.36961421370506287,0.0005265179820982402,0.9994734820179018
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,analogy,1.5,8.204880883736715,1.0,0.08598513391111617,0.44353702664375305,0.0007510807339009551,0.999248919266099
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,definition,0.25,8.71240928898835,0.0,-0.023247262201207097,0.07849548012018204,1.0385169543880579e-05,0.9999896148304561
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,definition,0.5,8.71240928898835,0.5,0.0015689348111677104,0.15699096024036407,4.603329864782957e-05,0.9999539667013522
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,definition,0.75,8.71240928898835,0.6666666666666666,0.025754841037241127,0.2354864478111267,0.00011170118586156796,0.9998882988141384
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,definition,1.0,8.71240928898835,1.0,0.0489464587157985,0.31398192048072815,0.0002087979215191771,0.9997912020784808
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,definition,1.25,8.71240928898835,1.0,0.07086363265695605,0.3924773633480072,0.0003352609065996326,0.9996647390934004
Qwen/Qwen3-1.7B,4,0.14285714285714285,logic,definition,1.5,8.71240928898835,1.0,0.09131749030173086,0.4709728956222534,0.0004862158323938326,0.9995137841676062
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,logic,0.25,8.451043199137754,0.0,-0.024236372780327753,0.07330649346113205,1.068037884144335e-05,0.9999893196211586
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,logic,0.5,8.451043199137754,0.5,-0.001296414400809076,0.1466129869222641,4.396374419468607e-05,0.9999560362558053
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,logic,0.75,8.451043199137754,0.6666666666666666,0.022253086039066394,0.21991950273513794,0.00010319921254331454,0.9998968007874567
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,logic,1.0,8.451043199137754,1.0,0.04602518084141238,0.2932259738445282,0.0001935733102057524,0.9998064266897942
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,logic,1.25,8.451043199137754,1.0,0.06960394936226111,0.36653247475624084,0.00032119932229146553,0.9996788006777085
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,logic,1.5,8.451043199137754,1.0,0.09257939656356728,0.4398390054702759,0.0004915291826929069,0.9995084708173071
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,analogy,0.25,8.63308560083522,0.0,-0.024705474385622983,0.07488557696342468,1.2306089749891669e-05,0.9999876939102501
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,analogy,0.5,8.63308560083522,0.3333333333333333,-0.000613410804432668,0.14977115392684937,5.1107769650449164e-05,0.9999488922303496
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,analogy,0.75,8.63308560083522,1.0,0.02377180679091362,0.22465674579143524,0.00011947350600671758,0.9998805264939933
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,analogy,1.0,8.63308560083522,1.0,0.048024181699740986,0.29954230785369873,0.0002203671213484304,0.9997796328786516
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,analogy,1.25,8.63308560083522,1.0,0.07172432636565373,0.3744278848171234,0.0003558518446649117,0.9996441481553351
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,analogy,1.5,8.63308560083522,1.0,0.09449478390426036,0.4493134915828705,0.0005262232604247297,0.9994737767395753
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,definition,0.25,5.976395407670871,0.3333333333333333,-0.01144875432291137,0.051840778440237045,1.4346470329940075e-05,0.9999856535296701
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,definition,0.5,5.976395407670871,0.5,-0.00015850856414012515,0.10368155688047409,6.129766763052213e-05,0.9999387023323695
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,definition,0.75,5.976395407670871,0.5,0.0111397662517283,0.15552230179309845,0.00014697435665689262,0.9998530256433431
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,definition,1.0,5.976395407670871,1.0,0.022357525293699387,0.20736311376094818,0.0002773516324826586,0.9997226483675173
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,definition,1.25,5.976395407670871,1.0,0.033409099172930556,0.25920388102531433,0.0004576180207126468,0.9995423819792874
Qwen/Qwen3-1.7B,4,0.14285714285714285,causality,definition,1.5,5.976395407670871,1.0,0.044214809431188384,0.3110446035861969,0.0006915723362398429,0.9993084276637602
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,logic,0.25,8.204880883736715,0.16666666666666666,-0.022940017296004478,0.0726022943854332,0.00012501776870443848,0.9998749822312956
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,logic,0.5,8.204880883736715,0.5,-0.0006139559241030712,0.1452045887708664,0.00048786232143860353,0.9995121376785614
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,logic,0.75,8.204880883736715,0.5,0.022014388484013603,0.217806875705719,0.0010485578985024446,0.9989514421014976
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,logic,1.0,8.204880883736715,1.0,0.0446111029066113,0.2904091775417328,0.0017425075763444209,0.9982574924236556
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,logic,1.25,8.204880883736715,1.0,0.06683904176487654,0.3630114793777466,0.0024906098455717007,0.9975093901544283
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,logic,1.5,8.204880883736715,1.0,0.08838038288113892,0.435613751411438,0.003212645180282858,0.9967873548197171
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,causality,0.25,8.63308560083522,0.3333333333333333,-0.023122501885398328,0.07639133185148239,0.00018971422424618467,0.9998102857757538
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,causality,0.5,8.63308560083522,0.3333333333333333,0.0005263208647507955,0.15278266370296478,0.0006942407234391546,0.9993057592765608
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,causality,0.75,8.63308560083522,0.5,0.023914881927938225,0.22917403280735016,0.0013989260167627249,0.9986010739832373
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,causality,1.0,8.63308560083522,0.6666666666666666,0.04670656947813845,0.30556532740592957,0.002182313991077267,0.9978176860089227
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,causality,1.25,8.63308560083522,1.0,0.06860579007903556,0.38195669651031494,0.0029359193101741177,0.9970640806898259
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,causality,1.5,8.63308560083522,1.0,0.0893731317380082,0.4583480656147003,0.003578301674761808,0.9964216983252382
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,definition,0.25,8.67995631902135,0.16666666666666666,-0.02337046952015598,0.07680609077215195,0.0001209543470525043,0.9998790456529475
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,definition,0.5,8.67995631902135,0.16666666666666666,0.0008977112018738742,0.1536121815443039,0.00044963747228654594,0.9995503625277135
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,definition,0.75,8.67995631902135,0.16666666666666666,0.02487761490050855,0.23041824996471405,0.0009205602671989999,0.999079439732801
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,definition,1.0,8.67995631902135,0.6666666666666666,0.04819803160143998,0.3072243630886078,0.0014607479872235096,0.9985392520127765
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,definition,1.25,8.67995631902135,0.8333333333333334,0.07054007375650628,0.38403037190437317,0.002003165533054685,0.9979968344669453
Qwen/Qwen3-1.7B,4,0.14285714285714285,analogy,definition,1.5,8.67995631902135,1.0,0.09165401582247257,0.4608364999294281,0.0024960714375568127,0.9975039285624432
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,logic,0.25,8.71240928898835,0.16666666666666666,-0.02585634809865267,0.07469809800386429,9.59123684408647e-05,0.9999040876315591
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,logic,0.5,8.71240928898835,0.5,-0.001994180287867464,0.14939619600772858,0.00040591515049492877,0.9995940848495051
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,logic,0.75,8.71240928898835,0.5,0.022500047788596045,0.22409431636333466,0.0009590246804770386,0.999040975319523
Qwen/Qwen3-1.7B,4,0.14285714285714285,definition,logic,1.0,8.71240928898835,1.0,0.04723531194906494,0.29879239201545715,0.0017725657833509434,0.9982274342166491
