model,layer,split,source_group,target_group,beta,intervention_type,rsm_pearson,invariant_violation_score,rsm_frobenius_distance,ivs_advantage_vs_random
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,task,0.999944710904878,5.528909512197977e-05,0.03856187449915242,-5.011522110809352e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,matched_random,0.9999948261259861,5.173874013886248e-06,0.026935816139974474,-5.011522110809352e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,opposite,0.9999899336841551,1.0066315844881046e-05,0.02212195656632522,-5.011522110809352e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,task,0.9998193537042597,0.00018064629574032764,0.07213458647373304,-0.00013561283814800262
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,matched_random,0.9999549665424077,4.503345759232502e-05,0.05785562452607673,-0.00013561283814800262
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,opposite,0.9999353056290923,6.469437090772523e-05,0.051837586405689556,-0.00013561283814800262
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,task,0.9996128934922457,0.000387106507754309,0.10821396145433292,-0.00024064923829913987
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,matched_random,0.9998535427305448,0.00014645726945516913,0.0933548228136488,-0.00024064923829913987
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,opposite,0.9998088928412325,0.0001911071587674673,0.08701364368977625,-0.00024064923829913987
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.5,task,0.99991393676381,8.606323618998157e-05,0.0366000747288163,-5.24784343756135e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.5,matched_random,0.9999664151981856,3.358480181436807e-05,0.026411660991599122,-5.24784343756135e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.5,opposite,0.9999999997861949,2.138050847477757e-10,0.016987633123463852,-5.24784343756135e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.75,task,0.999755137824723,0.00024486217527697196,0.06770872144479796,-0.00012020793767797411
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.75,matched_random,0.999875345762401,0.00012465423759899785,0.054989754460554985,-0.00012020793767797411
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.75,opposite,0.9999882729768947,1.1727023105256862e-05,0.042981066761212446,-0.00012020793767797411
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,1.0,task,0.9995138073401267,0.00048619265987326354,0.10148525151953072,-0.0001949481818090959
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,1.0,matched_random,0.9997087555219358,0.00029124447806416764,0.0879738464256654,-0.0001949481818090959
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,1.0,opposite,0.9999337324392914,6.62675607085994e-05,0.0750377465156246,-0.0001949481818090959
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,definition,0.5,task,0.9999741637926816,2.5836207318441495e-05,0.03416366190017687,-1.7854686347851256e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,definition,0.5,matched_random,0.9999920184790294,7.981520970590239e-06,0.029382273974555468,-1.7854686347851256e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,definition,0.5,opposite,0.999974419638218,2.558036178201828e-05,0.023193279210691236,-1.7854686347851256e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,definition,0.75,task,0.999895472123132,0.00010452787686798803,0.065716106221981,-5.333167754739687e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,definition,0.75,matched_random,0.9999488038006794,5.119619932059116e-05,0.0597813953633103,-5.333167754739687e-05
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,definition,0.75,opposite,0.9998917019251449,0.00010829807485512877,0.05202008493907455,-5.333167754739687e-05
